nonstandard,standard,explanation,manuscript,code_verse,byz_verse_text
διξατω,δειξατω,"nonstandard ι, standard ει",,,
διξει,δειξει,"standard ει, nonstandard ι",,,
διξον,δειξον,"nonstandard ι, standard ει",,,
διξω,δειξω,"nonstandard ι, standard ει",,,
διονυσιως,διονυσιος,ο and ω,,,
διορυγιναι,διορυγηναι,η and ι,,,
διπλοτερων,διπλοτερον,ο and ω,,,
διπλωσαται,διπλωσατε,"nonstandard αι, standard ε",,,
διπλωτερον,διπλοτερον,ο and ω,,,
διπνησαι,δειπνησαι,"standard ει, nonstandard ι",,,
διπνησω,δειπνησω,"nonstandard ι, standard ει",,,
διπνοις,δειπνοις,"standard ει, nonstandard ι",,,
διπνον,δειπνον,"nonstandard ι, standard ει",,,
διπνου,δειπνου,"nonstandard ι, standard ει",,,
διπνω,δειπνω,"standard ει, nonstandard ι",,,
διραντες,δειραντες,"nonstandard ι, standard ει",,,
δισαι,δησαι,η and ι,,,
δισαντες,δησαντες,η and ι,,,
δισατε,δησατε,η and ι,,,
διση,δηση,η and ι,,,
δισιδαιμονεστερους,δεισιδαιμονεστερους,"standard ει, nonstandard ι",,,
δισιδαιμονιας,δεισιδαιμονιας,"standard ει, nonstandard ι",,,
δισουσιν,δησουσιν,η and ι,,,
δισχειλειοι,δισχιλιοι,"nonstandard ει, standard ι",,,
δισχειλιοι,δισχιλιοι,"standard ι, nonstandard ει",,,
διυλιζονταις,διυλιζοντες,"nonstandard αι, standard ε",,,
διχθεντα,δειχθεντα,"nonstandard ι, standard ει",,,
διχοτομησι,διχοτομησει,"standard ει, nonstandard ι",,,
διχοτομισει,διχοτομησει,η and ι,,,
διψισουσιν,διψησουσιν,η and ι,,,
διωγμωυ,διωγμου,ο and ω,,,
διωκαι,διωκε,"nonstandard αι, standard ε",,,
διωκεται,διωκετε,"nonstandard αι, standard ε",,,
διωκις,διωκεις,"standard ει, nonstandard ι",,,
διωξεται,διωξετε,"nonstandard αι, standard ε",,,
διωξηται,διωξητε,"nonstandard αι, standard ε",,,
διωρυγηναι,διορυγηναι,ο and ω,,,
διωρυσσουσιν,διορυσσουσιν,ο and ω,,,
διωτι,διοτι,ο and ω,,,
δογματιζεσθαι,δογματιζεσθε,"nonstandard αι, standard ε",,,
δοθισα,δοθεισα,"nonstandard ι, standard ει",,,
δοθισαν,δοθεισαν,"nonstandard ι, standard ει",,,
δοθιση,δοθειση,"nonstandard ι, standard ει",,,
δοθισης,δοθεισης,"nonstandard ι, standard ει",,,
δοκειμαζειν,δοκιμαζειν,"standard ι, nonstandard ει",,,
δοκειμαζεσθωσαν,δοκιμαζεσθωσαν,"nonstandard ει, standard ι",,,
δοκειμαζομενου,δοκιμαζομενου,"nonstandard ει, standard ι",,,
δοκειμαζοντες,δοκιμαζοντες,"nonstandard ει, standard ι",,,
δοκειμασαι,δοκιμασαι,"standard ι, nonstandard ει",,,
δοκειται,δοκειτε,"nonstandard αι, standard ε",,,
δοκι,δοκει,"nonstandard ι, standard ει",,,
δοκιμαζεται,δοκιμαζετε,"nonstandard αι, standard ε",,,
δοκιμασηται,δοκιμασητε,"nonstandard αι, standard ε",,,
δοκιμειον,δοκιμιον,"nonstandard ει, standard ι",,,
δοκις,δοκεις,"nonstandard ι, standard ει",,,
δοκιτε,δοκειτε,"nonstandard ι, standard ει",,,
δοκουνταις,δοκουντες,"nonstandard αι, standard ε",,,
δοκων,δοκον,ο and ω,,,
δοκως,δοκος,ο and ω,,,
δοξαζιν,δοξαζειν,"nonstandard ι, standard ει",,,
δοξασι,δοξασει,"standard ει, nonstandard ι",,,
δοξηται,δοξητε,"nonstandard αι, standard ε",,,
δοξι,δοξη,η and ι,,,
δοξις,δοξης,η and ι,,,
δοται,δοτε,"nonstandard αι, standard ε",,,
δουλαι,δουλε,"nonstandard αι, standard ε",,,
δουλευεται,δουλευετε,"nonstandard αι, standard ε",,,
δουλευσουσιν,δουλευσουσι,movable ν,,,
δουλιαν,δουλειαν,"nonstandard ι, standard ει",,,
δουλιας,δουλειας,"nonstandard ι, standard ει",,,
δουλων,δουλον,ο and ω,,,
δουλως,δουλος,ο and ω,,,
δουνει,δουναι,"standard ι, nonstandard ει",,,
δρακωντα,δρακοντα,ο and ω,,,
δρακωντι,δρακοντι,ο and ω,,,
δρακωντος,δρακοντος,ο and ω,,,
δρεπανων,δρεπανον,ο and ω,,,
δρομων,δρομον,ο and ω,,,
δρουσιλλι,δρουσιλλη,η and ι,,,
δυναμαιως,δυναμεως,"nonstandard αι, standard ε",,,
δυναμειν,δυναμιν,"nonstandard ει, standard ι",,,
δυναμενων,δυναμενον,ο and ω,,,
δυναμι,δυναμει,"nonstandard ι, standard ει",,,
δυναρειον,δυναριιον,"standard ι, nonstandard ει",,,
δυνασθαι,δυνασθε,"nonstandard αι, standard ε",,,
δυνατων,δυνατον,ο and ω,,,
δυνησεσθαι,δυνησεσθε,"nonstandard αι, standard ε",,,
δυνησωμεθα,δυνησομεθα,ο and ω,,,
δυνισεται,δυνησεται,η and ι,,,
δυσεντερεια,δυσεντερια,"nonstandard ει, standard ι",,,
δυσκωλον,δυσκολον,ο and ω,,,
δυσκωλως,δυσκολως,ο and ω,,,
δωδαικα,δωδεκα,"nonstandard αι, standard ε",,,
δωδεκαφυλλον,δωδεκαφυλον,λ gemination,,,
δωθεισα,δοθεισα,ο and ω,,,
δωθη,δοθη,ο and ω,,,
δωθηναι,δοθηναι,ο and ω,,,
δωθησεται,δοθησεται,ο and ω,,,
δωκει,δοκει,ο and ω,,,
δωκεις,δοκεις,ο and ω,,,
δωκειτε,δοκειτε,ο and ω,,,
δωκουντες,δοκουντες,ο and ω,,,
δωκουσιν,δοκουσιν,ο and ω,,,
δωλω,δολω,ο and ω,,,
δωματα,δοματα,ο and ω,,,
δωνα,δονα,ο and ω,,,
δωξα,δοξα,ο and ω,,,
δωξαν,δοξαν,ο and ω,,,
δωξης,δοξης,ο and ω,,,
δωραια,δωρεα,"nonstandard αι, standard ε",,,
δωραιαν,δωρεαν,"nonstandard αι, standard ε",,,
δωρκας,δορκας,ο and ω,,,
δωρων,δωρον,ο and ω,,,
δωσι,δωσει,"nonstandard ι, standard ει",,,
δωσις,δωσεις,"nonstandard ι, standard ει",,,
δωτε,δοτε,ο and ω,,,
δωτω,δοτω,ο and ω,,,
εασαται,εασατε,"nonstandard αι, standard ε",,,
εαυτων,εαυτον,ο and ω,,,
εβαλλεν,εβαλεν,λ gemination,,,
εβαλλον,εβαλον,λ gemination,,,
εβαλων,εβαλον,ο and ω,,,
εβαπτειζεν,εβαπτιζεν,"nonstandard ει, standard ι",,,
εβαπτιζοντω,εβαπτιζοντο,ο and ω,,,
εβαπτιζωντο,εβαπτιζοντο,ο and ω,,,
εβαπτισθηται,εβαπτισθητε,"nonstandard αι, standard ε",,,
εβδομηκοντακεις,εβδομηκοντακις,"nonstandard ει, standard ι",,,
εβδομικοντα,εβδομηκοντα,η and ι,,,
εβδομικοντακις,εβδομηκοντακις,η and ι,,,
εβδομιν,εβδομην,η and ι,,,
εβλαστισεν,εβλαστησεν,η and ι,,,
εβλασφημι,εβλασφημει,"nonstandard ι, standard ει",,,
εβλασφημισαν,εβλασφημησαν,η and ι,,,
εβλασφημισεν,εβλασφημησεν,η and ι,,,
εβλασφιμουν,εβλασφημουν,η and ι,,,
εβληθι,εβληθη,η and ι,,,
εβλιθη,εβληθη,η and ι,,,
εβουλευωντο,εβουλευοντο,ο and ω,,,
εβουλιθη,εβουληθη,η and ι,,,
εβουλομιν,εβουλομην,η and ι,,,
εβουλοντω,εβουλοντο,ο and ω,,,
εβουλωμην,εβουλομην,ο and ω,,,
